Fonte de Recursos,Despesa,Liquidado,
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504381 - TERMO DE COLABORACAO COM ORGS.SOCIEDADE CIVI,"          69.417.094,94",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504382 - TERMO DE FOMENTO COM ORGS.DA SOCIEDADE CIVIL,"           4.204.440,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33504390 - OUTRAS SUBVENCOES SOCIAIS,"       1.047.348.578,96",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33604504 - SUBVENCOES ECONOMICAS,"           2.360.000,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33674505 - CONTRAP.PECUN.P/PREST.SERV.EM CONC.PATROC.PP,"          64.364.546,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33678301 - CONTRAP.PECUN.P/PREST.SERV.EM CONCES.ADM.PPP,"         309.408.315,87",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33704110 - TRANSF.A INST.MULTIGOVERN.NACIONAIS,"          97.295.453,50",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900810 - AUXILIO-CRECHE E AUXILIO-ESCOLA,"          13.179.143,71",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900841 - AUXILIO FUNERAL - OUTROS PODERES,"           1.555.822,51",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900842 - AUXILIO FUNERAL - PODER EXECUTIVO,"          30.374.820,44",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900844 - AUXILIO FUNERAL - OUTROS PODERES - INATIVOS,"             363.211,29",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900845 - AUXILIO FUNERAL - PODER EXECUTIVO - INATIVOS,"           1.830.565,87",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33900846 - AUXILIO SAUDE - OUTROS PODERES,"              14.670,06",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901401 - DIARIAS PESSOAL CIVIL,"          94.681.133,69",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901403 - DIARIA ESPEC.JORNADA EXTR. TRAB.PENITENCIARI,"          37.998.996,56",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901404 - DIARIA ESP.JOR.EXTR.TRAB.POL.CIVIL-LC 1280/1,"             977.961,58",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901416 - DIARIAS NO EXTERIOR,"           3.077.255,90",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901501 - DIARIAS PESSOAL MILITAR,"          13.544.195,09",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901502 - DIARIAS MILITAR-EM SERVS.DE SEGURANCA PESSOA,"             625.338,77",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901503 - DIARIA ESP JORN EXT TRAB POL. MILITAR-DEJEM,"         212.550.311,23",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901801 - AUXILIO FINANCEIRO A ESTUDANTES,"          32.286.172,11",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33901803 - AUX.FIN.A ESTUD.CONCEDIDO PELAS UNIV.PAULIST,"         105.439.812,78",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33902001 - AUXILIO FINAN.A PESQUISADORES-PESQ.INDIVIDUA,"         953.964.583,44",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33902002 - AUXÌLIO FINAN.A PESQUISADORES-PESQ.COLETIVA,"              12.682,32",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903010 - GENEROS ALIMENTICIOS,"         523.514.290,17",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903011 - GENEROS ALIMENTICIOS PPAIS - LEI 14.591/11,"          10.192.934,17",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903012 - MATERIAL DE CAMA, MESA E BANHO","           4.824.986,50",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903013 - MATERIAL E UTENS.P/REFEITORIO,COPA E COZINHA","           9.800.861,20",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903014 - MATERIAL DE LIMPEZA,"           8.628.176,33",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903015 - ARTIGOS DE HIGIENE PESSOAL,"          49.398.768,26",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903016 - MATERIAL DE ACONDICIONAMENTO E EMBALAGEM,"           7.809.052,89",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903019 - LUBRIFICANTE AUTOMOTIVO,"             502.407,55",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903021 - GASOLINA AUTOMOTIVA,"             415.638,71",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903022 - DIESEL AUTOMOTIVO,"           2.727.135,58",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903023 - ETANOL AUTOMOTIVO,"           1.400.435,43",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903024 - OUTROS COMBUSTIVEIS E LUBRIFICANTES,"          47.550.523,59",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903025 - GASOLINA AUTOMOTIVA-REEMBOLSO,"          47.084.865,09",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903026 - CESTAS BASICAS,"             545.124,55",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903027 - ETANOL AUTOMOTIVO-REEMBOLSO,"         120.031.554,75",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903028 - DIESEL AUTOMOTIVO-REEMBOLSO,"          24.932.918,06",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903029 - OUTROS COMBUSTIVEIS E LUBRIFICANTES-REEMBOLS,"           6.629.587,79",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903030 - MEDICAMENTOS E INSUMOS FARMACEUTICOS,"         898.943.332,33",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903031 - MATERIAL MEDICO,HOSPITALAR E ODONTOLOGICO","         349.729.881,58",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903032 - MATERIAL DE USO LABORATORIAL,"          96.189.907,15",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903034 - MATERIAL DE USO VETERINARIO,"           1.935.037,24",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903035 - MEDICAMENTOS FORNECIDOS POR DECIS„O JUDICIAL,"         455.330.118,65",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903036 - OUT.MAT.CONS.DECORRENTE DE DECISAO JUDICIAL,"          80.967.666,94",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903039 - MATERIAL ESPORTIVO E DE LAZER,"           1.933.640,30",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903040 - MATERIAL EDUCATIVO E CULTURAL,"          20.448.357,96",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903041 - MATERIAL DE ESCRITORIO PAPELARIA E IMPRESSOS,"          18.397.968,93",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903042 - MATERIAL PARA FOTOGRAFIA E FILMAGEM,"             419.456,53",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903043 - LIVROS P/BIBLIO.PUBLI,MAPAS,OUTRAS PUBLICACA","          16.832.787,58",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903044 - BANDEIRAS, FLAMULAS, INSIGNIAS","             326.494,14",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903050 - PECAS DE REPOSICAO E ACESSORIOS,"          48.856.587,11",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903051 - FERRAM.AVULSAS NAO ACION.P/FORCA MOTRIZ,"             589.970,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903052 - MATERIAL P/ CONSERVACAO E MANUT. DE IMOVEIS,"          14.631.530,28",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903053 - PECAS E ACESSORIOS PARA VIATURAS POLICIAIS,"           4.040.873,51",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903054 - MATERIAL INSTALACAO ELETRICA E ELETRONICA,"           5.798.938,17",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903055 - MATERIAL PARA TELECOMUNICACOES,"          12.242.620,32",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903060 - MATERIAIS E SUPRIMENTOS DE INFORMATICA,"          12.392.879,53",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903061 - PECAS E ACESSOR.E COMPONENTES DE INFORMATICA,"          11.575.407,14",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903062 - MUNICOES E EXPLOSIVOS,"          35.528.253,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903063 - FARDAMENTO,VESTUARIO,UNIFOR,TECIDO, AVIAMENT","          41.104.339,03",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903064 - PECAS P/VIATURAS PELO REGIME DE ADIANTAMENTO,"           5.172.150,19",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903065 - PECAS E ACESS.P/VIATURAS ESCOLTA/CUSTODEADOS,"             601.304,48",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903066 - MATERIAL PROT.SEGUR.SOCORRO E SOBREVIVENCIA,"          13.769.939,69",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903080 - ANIMAIS PARA ABATE,EXPERIMENTO E SEMEM","             335.651,66",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903081 - ALIMENTOS PARA ANIMAIS,"           9.699.575,42",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903082 - SEMENTES E MUDAS DE PLANTAS,"             708.813,73",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903090 - OUTROS MATERIAIS DE CONSUMO,"          63.031.062,34",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903101 - PREMIO EM PECUNIA,"          45.542.050,40",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903102 - OUTRAS PREMIACOES,"             200.032,61",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903295 - MATERIAL OU BEM PARA DISTRIBUICAO GRATUITA,"          18.001.236,37",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903340 - REGIME DE QUILOMETRAGEM,"           1.476.753,15",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903342 - PASSAGENS AEREAS        EXERCICIO ANTERIOR.,"          15.593.392,29",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903343 - LOCACAO DE VEICULOS,AERONAVES E OUTROS","          79.663.726,15",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903344 - VALE-TRANSPORTE,"          56.401.239,99",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903345 - OUTRAS DESP.C/TRANSPORTES E LOCOMOCAO,"          67.277.537,97",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903346 - LOCOMOCAO DE SERVIDORES,"          18.427.016,80",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903347 - TRANSPORTE ESCOLAR,"         115.971.960,59",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903501 - OUTROS SERV.CONSULTORIA,ASSESS.E AUDITORIA","          10.520.017,36",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903503 - SERVICOS DE CONSULTORIA-PESSOA FISICA,"             645.896,96",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903504 - SERVICOS DE CONSULTORIA-PESSOA JURIDICA,"             592.800,83",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903505 - SERVICOS DE CONSULTORIA-ORGANISMO INTERNACIO,"           2.203.022,09",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903506 - ASSESSORIA DE IMPRENSA E COMUNICACAO,"          18.530.294,40",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903507 - AUDITORIA EXTERNA,"             127.241,66",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903509 - CONSULTORIA TECNO.DA IMFORMAC„O-PJ,"              22.983,41",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903512 - ENCARG.SOCIAIS E OBRIG.FISCAIS AUDIT/CONS.,"             542.677,22",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903603 - CONDOMINIO,"             264.880,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903604 - MAO DE OBRA DE REEDUCANDOS,"           7.634.256,63",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903611 - OUTRAS REMUNERACOES DE SERVICOS PESSOAIS,"          69.098.762,95",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903612 - ENCARGOS SOCIAIS E OBRIGACOES FISCAIS,"           5.949.608,38",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903613 - ESTAGIARIOS DIRETAMENTE CONTRATADOS,"          23.920.772,46",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903614 - MONITORES, FISCAIS E EXAMINADORES","           6.541.429,71",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903616 - AJUDA DE CUSTO A COLABORADORES EVENTUAIS,"           2.935.022,43",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903619 - HONORARIOS ADVOCAT. ASSIST. JUDICIARIA COMPL,"               6.000,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903622 - MANUT.E CONSERV. DE BENS IMOVEIS,"             196.432,18",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903623 - JETON,"             159.412,03",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903624 - BOLSA PARA MEDICOS RESIDENTES,"         221.260.125,56",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,"33903625 - CURSOS, PALESTRAS","              11.646,80",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903626 - SERVICOS TECNICOS E ESPECIALIZADOS,"           3.077.395,91",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903628 - HONORARIOS DE CAMARA DE ARBITRAGEM,"             429.715,00",
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,33903631 - SERVICOS DE APOIO AO ENSINO,"             888.867,68",
